揹包	背包
苍白橡木木板	蒼白橡木材
苍白橡木压力板	蒼白橡木壓力板
苍白橡树树苗	蒼白橡木樹苗
苍白橡木展示架	蒼白橡木物品架
苍白橡木告示牌	蒼白橡木告示牌
苍白橡木台阶	蒼白橡木半磚
苍白橡木楼梯	蒼白橡木階梯
苍白橡木活板门	蒼白橡木地板門
墙上的悬挂式苍白橡木告示牌	牆上的懸掛式蒼白橡木告示牌
墙上的苍白橡木告示牌	牆上的蒼白橡木告示牌
苍白橡木	蒼白橡木塊
珠光蛙明灯	珠紫蛙光體
牡丹	牡丹花
石化橡木台阶	石化橡木半磚
猪灵的头	豬布林頭顱
墙上的猪灵的头	牆上的豬布林頭顱
粉红色旗帜	粉紅色旗幟
粉红色床	粉紅色床
粉红色蜡烛	粉紅色蠟燭
插上粉红色蜡烛的蛋糕	插上粉紅色蠟燭的蛋糕
粉红色地毯	粉紅色地毯
粉红色混凝土	粉紅色混凝土
粉红色混凝土粉末	粉紅色混凝土粉末
粉红色带釉陶瓦	粉紅色釉陶
粉红色花簇	粉瓣花
粉红色潜影盒	粉紅色界伏盒
粉红色染色玻璃	粉紅色玻璃
粉红色染色玻璃板	粉紅色玻璃片
粉红色陶瓦	粉紅色陶土
粉红色郁金香	粉紅色鬱金香
粉红色羊毛	粉紅色羊毛
活塞	活塞
活塞头	活塞頭
瓶子草植株	瓶子草植株
瓶子草	瓶子草
玩家的头	玩家頭顱
%s的头	%s 的頭顱
墙上的玩家的头	牆上的玩家頭顱
灰化土	灰壤
滴水石锥	鐘乳石
磨制安山岩	拋光安山岩
磨制安山岩台阶	拋光安山岩半磚
磨制安山岩楼梯	拋光安山岩階梯
磨制玄武岩	拋光玄武岩
磨制黑石	拋光黑石
磨制黑石砖台阶	拋光黑石磚半磚
磨制黑石砖楼梯	拋光黑石磚階梯
磨制黑石砖墙	拋光黑石磚牆
磨制黑石砖	拋光黑石磚
磨制黑石按钮	拋光黑石按鈕
磨制黑石压力板	拋光黑石壓力板
磨制黑石台阶	拋光黑石半磚
磨制黑石楼梯	拋光黑石階梯
磨制黑石墙	拋光黑石牆
磨制深板岩	拋光深板岩
磨制深板岩台阶	拋光深板岩半磚
磨制深板岩楼梯	拋光深板岩階梯
磨制深板岩墙	拋光深板岩牆
磨制闪长岩	拋光閃長岩
磨制闪长岩台阶	拋光閃長岩半磚
磨制闪长岩楼梯	拋光閃長岩階梯
磨制花岗岩	拋光花崗岩
磨制花岗岩台阶	拋光花崗岩半磚
磨制花岗岩楼梯	拋光花崗岩階梯
磨制凝灰岩	拋光凝灰岩
磨制凝灰岩台阶	拋光凝灰岩半磚
磨制凝灰岩楼梯	拋光凝灰岩階梯
磨制凝灰岩墙	拋光凝灰岩牆
虞美人	罌粟
马铃薯	馬鈴薯
金合欢树苗盆栽	相思木樹苗盆栽
绒球葱盆栽	紫紅球花盆栽
杜鹃花丛盆栽	杜鵑叢盆栽
蓝花美耳草盆栽	雛草盆栽
竹子盆栽	竹子盆栽
白桦树苗盆栽	樺木樹苗盆栽
兰花盆栽	藍色蝴蝶蘭盆栽
棕色蘑菇盆栽	棕色蘑菇盆栽
仙人掌盆栽	仙人掌盆栽
樱花树苗盆栽	櫻花木樹苗盆栽
闭合的眼眸花盆栽	閉合的擬目花盆栽
矢车菊盆栽	矢車菊盆栽
绯红菌盆栽	緋紅蕈菇盆栽
绯红菌索盆栽	緋紅蕈根盆栽
蒲公英盆栽	蒲公英盆栽
深色橡树树苗盆栽	黑橡木樹苗盆栽
枯萎的灌木盆栽	枯灌木盆栽
蕨盆栽	蕨類盆栽
盛开的杜鹃花丛盆栽	開花的杜鵑叢盆栽
丛林树苗盆栽	叢林木樹苗盆栽
铃兰盆栽	鈴蘭盆栽
红树胎生苗盆栽	紅樹林木胎生苗盆栽
橡树树苗盆栽	橡木樹苗盆栽
张开的眼眸花盆栽	張開的擬目花盆栽
橙色郁金香盆栽	橙色鬱金香盆栽
滨菊盆栽	雛菊盆栽
苍白橡树树苗盆栽	蒼白橡木樹苗盆栽
粉红色郁金香盆栽	粉紅色鬱金香盆栽
虞美人盆栽	罌粟盆栽
红色蘑菇盆栽	紅色蘑菇盆栽
红色郁金香盆栽	紅色鬱金香盆栽
云杉树苗盆栽	杉木樹苗盆栽
火把花盆栽	火把花盆栽
诡异菌盆栽	扭曲蕈菇盆栽
诡异菌索盆栽	扭曲蕈根盆栽
白色郁金香盆栽	白色鬱金香盆栽
凋灵玫瑰盆栽	凋零玫瑰盆栽
细雪	粉雪
装有细雪的炼药锅	裝粉雪的鍋釜
动力铁轨	動力鐵軌
海晶石	海磷石
海晶石砖台阶	海磷石磚半磚
海晶石砖楼梯	海磷石磚階梯
海晶石砖	海磷石磚
海晶石台阶	海磷石半磚
海晶石楼梯	海磷石階梯
海晶石墙	海磷石牆
南瓜	南瓜
南瓜茎	南瓜梗
紫色旗帜	紫色旗幟
紫色床	紫色床
紫色蜡烛	紫色蠟燭
插上紫色蜡烛的蛋糕	插上紫色蠟燭的蛋糕
紫色地毯	紫色地毯
紫色混凝土	紫色混凝土
紫色混凝土粉末	紫色混凝土粉末
紫色带釉陶瓦	紫色釉陶
紫色潜影盒	紫色界伏盒
紫色染色玻璃	紫色玻璃
紫色染色玻璃板	紫色玻璃片
紫色陶瓦	紫色陶土
紫色羊毛	紫色羊毛
紫珀块	紫珀方塊
紫珀柱	紫珀柱
紫珀台阶	紫珀半磚
紫珀楼梯	紫珀階梯
石英块	石英方塊
石英砖	石英磚
石英柱	石英柱
石英台阶	石英半磚
石英楼梯	石英階梯
铁轨	鐵軌
粗铜块	銅原礦方塊
粗金块	金原礦方塊
粗铁块	鐵原礦方塊
红色旗帜	紅色旗幟
红色床	紅色床
红色蜡烛	紅色蠟燭
插上红色蜡烛的蛋糕	插上紅色蠟燭的蛋糕
红色地毯	紅色地毯
红色混凝土	紅色混凝土
红色混凝土粉末	紅色混凝土粉末
红色带釉陶瓦	紅色釉陶
红色蘑菇	紅色蘑菇
红色蘑菇方块	紅色蘑菇方塊
红色下界砖台阶	紅地獄磚半磚
红色下界砖楼梯	紅地獄磚階梯
红色下界砖墙	紅地獄磚牆
红色下界砖块	紅地獄磚
红沙	紅沙
红砂岩	紅砂岩
红砂岩台阶	紅砂岩半磚
红砂岩楼梯	紅砂岩階梯
红砂岩墙	紅砂岩牆
红色潜影盒	紅色界伏盒
红色染色玻璃	紅色玻璃
红色染色玻璃板	紅色玻璃片
红色陶瓦	紅色陶土
红色郁金香	紅色鬱金香
红色羊毛	紅色羊毛
红石块	紅石方塊
红石灯	紅石燈
红石矿石	紅石礦
红石火把	紅石火把
墙上的红石火把	牆上的紅石火把
红石线	紅石線
强化深板岩	強化深板岩
红石中继器	紅石中繼器
循环型命令方块	重複型指令方塊
树脂块	樹脂方塊
树脂砖台阶	樹脂磚半磚
树脂砖楼梯	樹脂磚階梯
树脂砖墙	樹脂磚牆
树脂砖块	樹脂磚
树脂团	樹脂團
重生锚	重生錨
缠根泥土	扎根土
玫瑰丛	玫瑰叢
沙子	沙
砂岩	砂岩
砂岩台阶	砂岩半磚
砂岩楼梯	砂岩階梯
砂岩墙	砂岩牆
脚手架	鷹架
幽匿块	伏聆
幽匿催发体	伏聆觸媒
幽匿感测体	伏聆振測器
幽匿尖啸体	伏聆嘯口
幽匿脉络	伏聆脈絡
海晶灯	海燈籠
海泡菜	海鞘
海草	海草
已设置重生点	已設定重生點
矮枯草丛	矮枯草
矮草丛	矮草
菌光体	蕈光體
潜影盒	界伏盒
骷髅头颅	骷髏頭顱
墙上的骷髅头颅	牆上的骷髏頭顱
黏液块	史萊姆方塊
小型紫晶芽	小型紫水晶芽
小型垂滴叶	小懸葉草
锻造台	鍛造台
烟熏炉	煙燻爐
平滑玄武岩	平滑玄武岩
平滑石英块	平滑石英方塊
平滑石英台阶	平滑石英半磚
平滑石英楼梯	平滑石英階梯
平滑红砂岩	平滑紅砂岩
平滑红砂岩台阶	平滑紅砂岩半磚
平滑红砂岩楼梯	平滑紅砂岩階梯
平滑砂岩	平滑砂岩
平滑砂岩台阶	平滑砂岩半磚
平滑砂岩楼梯	平滑砂岩階梯
平滑石头	平滑石頭
平滑石头台阶	平滑石半磚
嗅探兽蛋	嗅探獸蛋
雪	雪
雪块	雪塊
灵魂营火	靈魂營火
灵魂火	靈魂火
灵魂灯笼	靈魂燈籠
灵魂沙	靈魂砂
灵魂土	靈魂土
灵魂火把	靈魂火把
墙上的灵魂火把	牆上的靈魂火把
你的床或已充能的重生锚不存在或已被阻挡	你沒有床或已充能的重生錨，或是它受到阻擋
刷怪笼	生怪磚
用刷怪蛋交互时：	用生怪蛋互動時：
设置生物种类	設定生物種類
海绵	海綿
孢子花	孢子花
云杉木按钮	杉木按鈕
云杉木门	杉木門
云杉木栅栏	杉木柵欄
云杉木栅栏门	杉木柵欄門
悬挂式云杉木告示牌	懸掛式杉木告示牌
云杉树叶	杉木樹葉
云杉原木	杉木原木
云杉木板	杉木材
云杉木压力板	杉木壓力板
云杉树苗	杉木樹苗
云杉木展示架	杉木物品架
云杉木告示牌	杉木告示牌
云杉木台阶	杉木半磚
云杉木楼梯	杉木階梯
云杉木活板门	杉木地板門
墙上的悬挂式云杉木告示牌	牆上的懸掛式杉木告示牌
墙上的云杉木告示牌	牆上的杉木告示牌
云杉木	杉木塊
黏性活塞	黏性活塞
石头	石頭
石砖台阶	石磚半磚
石砖楼梯	石磚階梯
石砖墙	石磚牆
石砖	石磚
石头按钮	石製按鈕
石头压力板	石製壓力板
石头台阶	石半磚
石头楼梯	石頭階梯
切石机	切石機
去皮金合欢原木	剝皮相思木原木
去皮金合欢木	剝皮相思木塊
去皮竹块	剝皮竹方塊
去皮白桦原木	剝皮樺木原木
去皮白桦木	剝皮樺木塊
去皮樱花原木	剝皮櫻花木原木
去皮樱花木	剝皮櫻花木塊
去皮绯红菌核	剝皮緋紅菌絲體
去皮绯红菌柄	剝皮緋紅蕈柄
去皮深色橡木原木	剝皮黑橡木原木
去皮深色橡木	剝皮黑橡木塊
去皮丛林原木	剝皮叢林木原木
去皮丛林木	剝皮叢林木塊
去皮红树原木	剝皮紅樹林木原木
去皮红树木	剝皮紅樹林木塊
去皮橡木原木	剝皮橡木原木
去皮橡木	剝皮橡木塊
去皮苍白橡木原木	剝皮蒼白橡木原木
去皮苍白橡木	剝皮蒼白橡木塊
去皮云杉原木	剝皮杉木原木
去皮云杉木	剝皮杉木塊
去皮诡异菌核	剝皮扭曲菌絲體
去皮诡异菌柄	剝皮扭曲蕈柄
结构方块	結構方塊
结构空位	結構空位
甘蔗	甘蔗
向日葵	向日葵
可疑的沙砾	可疑的礫石
可疑的沙子	可疑的沙
甜浆果丛	甜莓灌木叢
高枯草丛	高枯草
高草丛	芒草
高海草	高海草
标靶	標靶
陶瓦	陶土
测试方块	測試方塊
测试实例方块	測試實例方塊
遮光玻璃	遮光玻璃
TNT	TNT
TNT爆炸已禁用	TNT 爆炸已停用
火把	火把
火把花	火把花
火把花植株	火把花植株
陷阱箱	陷阱儲物箱
试炼刷怪笼	試煉生怪磚
绊线	絆線
绊线钩	絆線鉤
管珊瑚	管珊瑚
管珊瑚块	管珊瑚方塊
管珊瑚扇	扇狀管珊瑚
墙上的管珊瑚扇	牆上的扇狀管珊瑚
凝灰岩	凝灰岩
凝灰岩砖台阶	凝灰岩磚半磚
凝灰岩砖楼梯	凝灰岩磚階梯
凝灰岩砖墙	凝灰岩磚牆
凝灰岩砖	凝灰岩磚
凝灰岩台阶	凝灰岩半磚
凝灰岩楼梯	凝灰岩階梯
凝灰岩墙	凝灰岩牆
海龟蛋	海龜蛋
缠怨藤	扭曲藤
缠怨藤植株	扭曲藤植株
宝库	寶庫
青翠蛙明灯	蒼翠蛙光體
藤蔓	藤蔓
虚空空气	虛空空氣
墙上的火把	牆上的火把
诡异木按钮	扭曲蕈木按鈕
诡异木门	扭曲蕈木門
诡异木栅栏	扭曲蕈木柵欄
诡异木栅栏门	扭曲蕈木柵欄門
诡异菌	扭曲蕈菇
悬挂式诡异木告示牌	懸掛式扭曲蕈木告示牌
诡异菌核	扭曲菌絲體
诡异菌岩	扭曲菌絲石
诡异木板	扭曲蕈木材
诡异木压力板	扭曲蕈木壓力板
诡异菌索	扭曲蕈根
诡异木展示架	扭曲蕈木物品架
诡异木告示牌	扭曲蕈木告示牌
诡异木台阶	扭曲蕈木半磚
诡异木楼梯	扭曲蕈木階梯
诡异菌柄	扭曲蕈柄
诡异木活板门	扭曲蕈木地板門
墙上的悬挂式诡异木告示牌	牆上的懸掛式扭曲蕈木告示牌
墙上的诡异木告示牌	牆上的扭曲蕈木告示牌
诡异疣块	扭曲疙瘩塊
水	水
装有水的炼药锅	裝水的鍋釜
涂蜡的雕纹铜块	上蠟的浮雕銅方塊
涂蜡的铜块	上蠟的銅方塊
涂蜡的铜灯	上蠟的銅燈
涂蜡的铜箱子	上蠟的銅儲物箱
涂蜡的铜门	上蠟的銅門
涂蜡的铜傀儡像	上蠟的銅像
涂蜡的铜格栅	上蠟的銅格柵
涂蜡的铜活板门	上蠟的銅地板門
涂蜡的切制铜块	上蠟的切製銅方塊
涂蜡的切制铜台阶	上蠟的切製銅半磚
涂蜡的切制铜楼梯	上蠟的切製銅階梯
涂蜡的斑驳雕纹铜块	上蠟的斑駁浮雕銅方塊
涂蜡的斑驳铜块	上蠟的斑駁銅方塊
涂蜡的斑驳铜灯	上蠟的斑駁銅燈
涂蜡的斑驳铜箱子	上蠟的斑駁銅儲物箱
涂蜡的斑驳铜门	上蠟的斑駁銅門
涂蜡的斑驳铜傀儡像	上蠟的斑駁銅像
涂蜡的斑驳铜格栅	上蠟的斑駁銅格柵
涂蜡的斑驳铜活板门	上蠟的斑駁銅地板門
涂蜡的斑驳切制铜块	上蠟的斑駁切製銅方塊
涂蜡的斑驳切制铜台阶	上蠟的斑駁切製銅半磚
涂蜡的斑驳切制铜楼梯	上蠟的斑駁切製銅階梯
涂蜡的斑驳避雷针	上蠟的斑駁避雷針
涂蜡的避雷针	上蠟的避雷針
涂蜡的氧化雕纹铜块	上蠟的氧化浮雕銅方塊
涂蜡的氧化铜块	上蠟的氧化銅方塊
涂蜡的氧化铜灯	上蠟的氧化銅燈
涂蜡的氧化铜箱子	上蠟的氧化銅儲物箱
涂蜡的氧化铜门	上蠟的氧化銅門
涂蜡的氧化铜傀儡像	上蠟的氧化銅像
涂蜡的氧化铜格栅	上蠟的氧化銅格柵
涂蜡的氧化铜活板门	上蠟的氧化銅地板門
涂蜡的氧化切制铜块	上蠟的氧化切製銅方塊
涂蜡的氧化切制铜台阶	上蠟的氧化切製銅半磚
涂蜡的氧化切制铜楼梯	上蠟的氧化切製銅階梯
涂蜡的氧化避雷针	上蠟的氧化避雷針
涂蜡的锈蚀雕纹铜块	上蠟的風化浮雕銅方塊
涂蜡的锈蚀铜块	上蠟的風化銅方塊
涂蜡的锈蚀铜灯	上蠟的風化銅燈
涂蜡的锈蚀铜箱子	上蠟的風化銅儲物箱
涂蜡的锈蚀铜门	上蠟的風化銅門
涂蜡的锈蚀铜傀儡像	上蠟的風化銅像
涂蜡的锈蚀铜格栅	上蠟的風化銅格柵
涂蜡的锈蚀铜活板门	上蠟的風化銅地板門
涂蜡的锈蚀切制铜块	上蠟的風化切製銅方塊
涂蜡的锈蚀切制铜台阶	上蠟的風化切製銅半磚
涂蜡的锈蚀切制铜楼梯	上蠟的風化切製銅階梯
涂蜡的锈蚀避雷针	上蠟的風化避雷針
锈蚀的雕纹铜块	風化的浮雕銅方塊
锈蚀的铜块	風化的銅方塊
锈蚀的铜灯	風化的銅燈
锈蚀的铜箱子	風化的銅儲物箱
锈蚀的铜门	風化的銅門
锈蚀的铜傀儡像	風化的銅魔像雕像
锈蚀的铜格栅	風化的銅格柵
锈蚀的铜活板门	風化的銅地板門
锈蚀的切制铜块	風化的切製銅方塊
锈蚀的切制铜台阶	風化的切製銅半磚
锈蚀的切制铜楼梯	風化的切製銅階梯
锈蚀的避雷针	風化的避雷針
垂泪藤	垂泣藤
垂泪藤植株	垂泣藤植株
湿海绵	濕海綿
小麦植株	小麥植株
白色旗帜	白色旗幟
白色床	白色床
白色蜡烛	白色蠟燭
插上白色蜡烛的蛋糕	插上白色蠟燭的蛋糕
白色地毯	白色地毯
白色混凝土	白色混凝土
白色混凝土粉末	白色混凝土粉末
白色带釉陶瓦	白色釉陶
白色潜影盒	白色界伏盒
白色染色玻璃	白色玻璃
白色染色玻璃板	白色玻璃片
白色陶瓦	白色陶土
白色郁金香	白色鬱金香
白色羊毛	白色羊毛
野花簇	野花簇
凋灵玫瑰	凋零玫瑰
凋灵骷髅头颅	凋零骷髏頭顱
墙上的凋灵骷髅头颅	牆上的凋零骷髏頭顱
黄色旗帜	黃色旗幟
黄色床	黃色床
黄色蜡烛	黃色蠟燭
插上黄色蜡烛的蛋糕	插上黃色蠟燭的蛋糕
黄色地毯	黃色地毯
黄色混凝土	黃色混凝土
黄色混凝土粉末	黃色混凝土粉末
黄色带釉陶瓦	黃色釉陶
黄色潜影盒	黃色界伏盒
黄色染色玻璃	黃色玻璃
黄色染色玻璃板	黃色玻璃片
黄色陶瓦	黃色陶土
黄色羊毛	黃色羊毛
僵尸的头	殭屍頭顱
墙上的僵尸的头	牆上的殭屍頭顱
%1$s 著	作者 %1$s
书本编辑屏幕	書本編輯畫面
输入书名：	輸入書名：
署名并关闭	署名並完成
注意！在你署名后，它将不能再被修改。	注意！當您在這本書署名後，將無法再修改書中內容。
原稿	原始版本
原稿的副本	複本
副本的副本	複本的複本
破烂不堪	破舊的
* 无效的书本标签 *	* 書本標籤無效 *
第%1$s页/共%2$s页	第 %1$s 頁/共 %2$s 頁
下一页	下一頁
上一页	上一頁
书本署名屏幕	書本署名畫面
标题	標題
署名	署名
书本浏览屏幕	書本檢視畫面
建筑高度限制是%s	最大建築高度限制為 %s
无法发送聊天消息	無法傳送聊天訊息
%s, %s, %s	%s, %s, %s
点此传送	按此傳送
复制到剪贴板	複製到剪貼簿
单击复制到剪贴板	按此複製到剪貼簿
此聊天消息已被服务器删除。	這則訊息已被伺服器刪除。
由于消息链损坏，聊天已被禁用。请尝试重新连接。	由於訊息鏈中斷，聊天已被停用。請嘗試重新連線。
由于个人信息公钥过期，聊天已被禁用。请尝试重新连接。	由於個人資訊公鑰過期，已停用聊天功能。請嘗試重新連線。
命令包含意外或缺失的命令参数签名。	指令包含非預期的或是遺漏的指令引數簽章。
聊天签名无效。请尝试重新连接。	聊天簽章無效。請嘗試重新連線。
聊天在启动器选项中被禁用。无法发送消息。	啟動器選項已停用聊天功能。無法傳送訊息。
由于个人信息公钥丢失，聊天已被禁用。请尝试重新连接。	由於個人資訊公鑰遺失，已停用聊天功能。請嘗試重新連線。
聊天在客户端选项中被禁用。	用戶端選項已停用聊天功能。
接收到了乱序的聊天消息。你的系统时间是否被更改过？	收到的聊天訊息順序不正確。您的系統時間是否已變更？
聊天在账户设置中被禁用。再按一次“%s”以获取更多信息。	聊天功能受到帳號設定限制。請重新按下「%s」以取得更多資訊。
聊天在账户设置中被禁用。无法发送或查看消息。	聊天功能受到帳號設定限制。無法傳送或查看訊息。
聊天	聊天欄
被服务器过滤。	被伺服器過濾。
服务器已向部分玩家隐藏了你的消息。	伺服器已為部分玩家隱藏您的訊息。
你确定要打开以下网页？	你確定要開啟以下網頁嗎？
你想要打开这个链接或将其复制到你的剪贴板吗？	確定要開啟此連結或將它複製到剪貼簿嗎？
在浏览器中打开	在瀏覽器中開啟
永远不要打开你不信任的人提供的链接！	千萬不要開啟任何你不信任的人所提供的連結！
[+%s行待发送]	[+%s 則待傳送訊息]
[%s]	[%s]
服务器发送了无效消息。	伺服器傳送了無效訊息。
消息被服务器修改。原文：	訊息被伺服器修改過。原文：
未经验证的消息。无法举报。	無法檢舉未認證的訊息。
服务器消息。无法举报。	無法檢舉伺服器訊息。
服务器消息。	伺服器訊息。
[%s: %s]	[%s: %s]
%s完成了挑战%s	%s 已完成挑戰 %s
%s达成了目标%s	%s 已達成目標 %s
%s取得了进度%s	%s 已完成進度 %s
[%s] %s	[%s] %s
* %s %s	* %s %s
发送队伍消息	傳送隊伍訊息
-> %s <%s> %s	-> %s <%s> %s
%s <%s> %s	%s <%s> %s
<%s> %s	<%s> %s
%s说%s	%s 說︰%s
聊天验证错误	聊天驗證錯誤
要发送的消息：%s	傳送訊息：%s
聊天屏幕	聊天畫面
输入消息并按Enter键发送	輸入訊息後按下 Enter 鍵傳送
查看日志获取详情	查看記錄檔以取得詳細資訊
无法加载%s处的区块	無法載入 %s 處的區塊
磁盘空间不足！	磁碟空間不足！
可能无法保存世界。	可能無法儲存世界。
无法保存%s处的区块	無法儲存 %s 處的區塊
未能从%s名玩家找到任何物品	在 %s 個玩家身上找不到任何物品
未能从玩家%s找到任何物品	在玩家 %s 身上找不到任何物品
黑色	黑色
蓝色	藍色
棕色	棕色
青色	青色
灰色	灰色
绿色	綠色
淡蓝色	淺藍色
淡灰色	淺灰色
黄绿色	淺綠色
品红色	洋紅色
橙色	橙色
粉红色	粉紅色
紫色	紫色
红色	紅色
白色	白色
黄色	黃色
<--[此处]	<--［這裡］
%s，位于第%s个字符：%s	第 %2$s 個字元 %1$s：%3$s
无法解析命令：%s	無法解析指令：%s
参数后应有空格分隔，但发现了紧邻的数据	引數結尾應為空白字元，但發現有尾隨資料
试图执行该命令时出现意外错误	試圖執行該指令時發生了非預期性錯誤
上下文数量已达上限值（%s）	已達上下文數量上限 (%s)
错误的命令参数	指令的引數不正確
未知或不完整的命令，错误见下	未知或不完整的指令，錯誤如下
进度%1$s并不包含条件“%2$s”	進度 %1$s 不包含 '%2$s' 標準條件
无法将进度%2$s的达成条件“%1$s”赋予%3$s名玩家，因为他们已达成此条件	無法將進度 %2$s 的條件 '%1$s' 給予 %3$s 個玩家，因為他們已經擁有該條件
已将进度%2$s的达成条件“%1$s”赋予%3$s名玩家	已將進度 %2$s 的條件 '%1$s' 給予 %3$s 個玩家
无法将进度%2$s的达成条件“%1$s”赋予%3$s，因为该玩家已达成此条件	無法將進度 %2$s 的條件 '%1$s' 給予 %3$s，因為他已經擁有該條件
已将进度%2$s的达成条件“%1$s”赋予%3$s	已將進度 %2$s 的條件 '%1$s' 給予 %3$s
无法将%s项进度赋予%s名玩家，因为他们已达成这些进度	無法將 %s 個進度給予 %s 個玩家，因為他們已達成那些進度
已将%s项进度赋予%s名玩家	已將 %s 個進度給予 %s 個玩家
无法将%s项进度赋予%s，因为该玩家已达成这些进度	無法將 %s 個進度給予 %s，因為他已達成此進度
已将%s项进度赋予%s	已將 %s 個進度給予 %s
无法将进度%s赋予%s名玩家，因为他们已达成此进度	無法將進度 %s 給予 %s 個玩家，因為他們已達成此進度
已将进度%s赋予%s名玩家	已將進度 %s 給予 %s 個玩家
无法将进度%s赋予%s，因为该玩家已达成此进度	無法將進度 %s 給予 %s，因為他已達成此進度
已将进度%s赋予%s	已將進度 %s 給予 %s
无法撤销%3$s名玩家关于进度%2$s的达成条件“%1$s”，因为他们并未达成此条件	無法從 %3$s 個玩家身上撤銷進度 %2$s 尚未取得的的條件 '%1$s'
已撤销%3$s名玩家关于进度%2$s的达成条件“%1$s”	已從 %3$s 個玩家身上撤銷進度 %2$s 的條件 '%1$s'
无法撤销%3$s关于进度%2$s的达成条件“%1$s”，因为该玩家并未达成此条件	無法從 %3$s 身上撤銷進度 %2$s 尚未取得的條件 '%1$s'
已撤销%3$s关于进度%2$s的达成条件“%1$s”	已從 %3$s 身上撤銷進度 %2$s 的條件 '%1$s'
无法撤销%2$s名玩家的%1$s项进度，因为他们并未达成此进度	無法從 %2$s 個玩家身上撤銷尚未取得的 %1$s 個進度
已撤销%2$s名玩家的%1$s项进度	已從 %2$s 個玩家身上撤銷 %1$s 個進度
无法撤销%2$s的%1$s项进度，因为该玩家并未达成这些进度	無法從 %2$s 身上撤銷尚未取得的 %1$s 個進度
已撤销%2$s的%1$s项进度	已從 %2$s 身上撤銷 %1$s 個進度
无法撤销%2$s名玩家的进度%1$s，因为他们并未达成此进度	無法從 %2$s 個玩家身上撤銷尚未取得的進度 %1$s
已撤销%2$s名玩家的进度%1$s	已從 %2$s 個玩家身上撤銷進度 %1$s
无法撤销%2$s的进度%1$s，因为该玩家并未达成此进度	無法從 %2$s 身上撤銷尚未取得的進度 %1$s
已撤销%2$s的进度%1$s	已從 %2$s 身上撤銷進度 %1$s
实体%2$s的属性%1$s的基值为%3$s	實體 %2$s 的屬性 %1$s 基礎值為 %3$s
实体%2$s的属性%1$s的基值已重置为默认值%3$s	已將實體 %2$s 的屬性 %1$s 重設為預設值 %3$s
实体%2$s的属性%1$s的基值已设置为%3$s	已將實體 %2$s 的屬性 %1$s 基礎值設定為 %3$s
%s不是此命令的有效实体	%s 不是這條指令的有效實體
实体%3$s的属性%2$s已存在修饰符%1$s	實體 %3$s 於屬性 %2$s 中已存在修飾符 %1$s
实体%s没有属性%s	實體 %s 沒有屬性 %s
实体%2$s的属性%1$s无修饰符%3$s	實體 %2$s 的屬性 %1$s 沒有修飾符 %3$s
为实体%3$s的属性%2$s添加了修饰符%1$s	已為實體 %3$s 的屬性 %2$s 加上修飾符 %1$s
为实体%3$s的属性%2$s移除了修饰符%1$s	已從實體 %3$s 的屬性 %2$s 移除修飾符 %1$s
实体%3$s的属性%2$s中修饰符%1$s值为%4$s	實體 %3$s 於屬性 %2$s 上的修飾符 %1$s 值為 %4$s
实体%2$s的属性%1$s的值为%3$s	實體 %2$s 的屬性 %1$s 值為 %3$s
无变化，该玩家已被封禁	未進行任何變更。該玩家已經被封鎖了
已封禁%s：%s	%s 已被封鎖：%s
无变化，该IP地址已被封禁	未進行任何變更。這個 IP 已被封鎖
此次封禁涉及%s名玩家：%s	這次封鎖作用於 %s 個玩家：%s
无效的IP地址或未知的玩家	無效的 IP 位址或未知的玩家
已封禁IP地址%s：%s	已封鎖 IP %s: %s
%s被%s封禁：%s	%s 被 %s 封鎖：%s
（未知）	（未知）
共有%s条封禁：	以下 %s 個玩家被封鎖：
没有玩家被封禁	沒有被封鎖的玩家
ID为“%s”的Boss栏已经存在	已存在 ID 為 '%s' 的 Boss 狀態條
已创建自定义Boss栏%s	已建立自訂 Boss 狀態條 %s
自定义Boss栏%s的最大值为%s	自訂 Boss 狀態條 %s 的最大值為 %s
自定义Boss栏%s目前没有在线玩家	自訂 Boss 狀態條 %s 目前沒有在線上的玩家
自定义Boss栏%s当前在线的%s名玩家有：%s	自訂 Boss 狀態條 %s 目前有 %s 位玩家在線上：%s
自定义Boss栏%s的数值为%s	自訂 Boss 狀態條 %s 的數值為 %s
自定义Boss栏%s现为隐藏	自訂 Boss 狀態條 %s 目前為隱藏
自定义Boss栏%s现为可见	自訂 Boss 狀態條 %s 目前可見
无运行中的自定义Boss栏	沒有已啟用的自訂 Boss 狀態條
有%s项运行中的自定义Boss栏：%s	已啟用的 %s 個自訂 Boss 狀態條為：%s
已移除自定义Boss栏%s	已移除自訂 Boss 狀態條 %s
已更改自定义Boss栏%s的颜色	已變更自訂 Boss 狀態條 %s 的顏色
无变化，这本就是这个Boss栏的颜色	未進行任何變更。此 Boss 狀態條已經是該顏色
自定义Boss栏%s的最大值已改为%s	已將自訂 Boss 狀態條 %s 的最大值變更為 %s
无变化，这本就是这个Boss栏的最大值	未進行任何變更。此 Boss 狀態條已經是該最大值
已重命名自定义Boss栏%s	已重新命名自訂 Boss 狀態條 %s
无变化，这本就是这个Boss栏的名称	未進行任何變更。此 Boss 狀態條已經是該名稱
自定义Boss栏%s在当下没有在线玩家	自訂 Boss 狀態條 %s 上不再有任何玩家
